EmergencyErrorCode,Group,Event,Description,Event_ID
0x2340,Power stage,ShortCircuit,"

      

       Description

       Hw detected short circuit.

       If the short circuit protection detects a short circuit, the power stage will be shut down. This is done by Hw without Sw interaction.

       The Sw will restart the power stage within 500 microseconds. If no new short is detected within 100 ms this will be regarded as a glitch.

       If a new short circuit signal is detected within the 100 ms this will be regarded as a ""Hardware Detected Short Circuit"".

       Event state will be set back to pending when power stage is disabled. 

       A short circuit can be any of the following:

       Short circuit phase to phase

       Short circuit phase to ground (B-)

       Short circuit phase to Supply (B+)

       When is event evaluated

       When enabled

       Related parameters

       No related parameters.

      

     ",100
,Power stage,ShortCircuitCounter,"

      

       Description

       This is an inforamative event that in combination with the ShortCircuit-event can be usefull when analyzing short circuit situations.

       This event will be cleared when power stage is disabled. A consequnce of this is that for this event, unlike for the ShortCircuit-event, the occurance counter will increase also

       when trying to enable against a permanent short circuit. 

       When is event evaluated

       When enabled

       Related parameters

       No related parameters.

      

     ",101
0x2341,Power stage,ShortCGlitch,"

    

     Description

     Hw detected short circuit glitch.

     If the short circuit protection detects a short circuit, the power stage will be shut down. This is done by Hw without Sw interaction.

     This event is always set whenever this happens.

     The Sw will restart the power stage within 500 microseconds.

     If a new short circuit signal is detected within the next 100 ms this will be regarded as a ""Hardware Detected Short Circuit"".

     When is event evaluated

     When enabled

     Related parameters

     No related parameters.

    

   ",103
0x2355,Power stage,ExtWDogTripped,"

    

     Description

     Hw watchdog in power stage.

     If the watchdog in the power stage is not kicked on by the CPU, the power stage will shut down.

     When is event evaluated

     Always

     Related parameters

     No related parameters.

    

   ",115
0x5210,Current Measurements,SensorOffset,"

    

     Description

     Event is set if offset is too high.

     Offset is calibrated when drive is disabled.

     Limit is 10% of default offset that is 2047 (i.e. half of ADC full-scale value) 

     When is event evaluated

     When not enabled

     Related parameters

     CurrentSensorsCalibration, IvOffset

     CurrentSensorsCalibration, IwOffset

    

   ",200
0x2310,Current Measurements,OverCurrentError,"

    

     Description

     Event is set if measured current is too high in any of the U,V or W phases and glitch counter is above trip limit.

     SW algorithm: Measured current is above 150% of max allowed current (HwDetectedMaxCurrent) or if AD value or current core is close to saturation. 

     Over current is detected if two consequtive measurements in the same phase are above the limit.

     OverCurrenError event is set if over current is detected and glitch counter is above trip limit (>5000). 

     An over current error can be caused by any of the following:

     Short circuit or over current phase to phase

     Short circuit phase to ground (B-)

     Short circuit phase to Supply (B+)

     When is event evaluated

     When enabled

     When event SensorOffset is not active

     Related parameters

     ApplicationSwInformation, HwDetectedMaxCurrent

    

   ",202
0x2311,Current Measurements,OverCurrGlitch,"

    

     Description

     Event is set if measured current is too high in any of the U, V or W phases and glitch counter is below trip limit.

     SW algorithm: Measured current is above 150% of max allowed current (HwDetectedMaxCurrent) or if AD value or current core is close to saturation.

     Over current is detected if two consequtive measurements in the same phase are above the limit.

     OverCurrenGlitch event is set if over current is detected and glitch counter is below trip limit (<5000).

     Glitch counter will then be increased (with 2000) and drive restarted. Glitch counter will be decreased (-1 every 250us) when

     drive is enabled without over current detected. 

     When is event evaluated

     When enabled

     When event SensorOffset is not active

     Related parameters

     ApplicationSwInformation, HwDetectedMaxCurrent

    

   ",203
,Current Measurements,DefaultValues,"

    

     Description

     Event is set when default values are loaded from Eeprom (either due to checksum error on segment or commanded by user).

     Indicates that the drive is not calibrated. 

     When is event evaluated

     At startup

     Related parameters

     CurrentSensorsCalibration, SetDefaultValues

     CurrentSensorsCalibration, IvGain

     CurrentSensorsCalibration, IvPosTempGain

     CurrentSensorsCalibration, IvNegTempGain

     CurrentSensorsCalibration, IwGain

     CurrentSensorsCalibration, IwPosTempGain

     CurrentSensorsCalibration, IwNegTempGain

     CurrentSensorsCalibration, IvOffset

     CurrentSensorsCalibration, IwOffset

    

   ",204
,Current Measurements,HighEnergyWarning,"

    

     Description

     Event is set when calculated energy level is above specified limit.

     Indicates that more then continous current have been used longen the intended. 

     When is event evaluated

     When enabled

     Related parameters

     EnergyLimit, ConstantCurrentLimit

     EnergyLimit, ReductionPgain

     EnergyLimit, EnergyFilterGain

    

   ",205
0x2310,Current Measurements,CustomizedOverCurrentError,"

    

     Description

     Event is set when unfiltered RMS current is above over current limit for the specified

     number of consecutive samples. 

     When is event evaluated

     When OverCurrentLimit is not 0

     When event SensorOffset is not active

     Related parameters

     OverCurrentLimit 

     OverCurrentSampleLimit

    

   ",310
,Current Measurements,AutoTuningHighModulation,"

    

     Description

     Event is set when modulation exceed 95% when Autotuning.

     Running above full modulation in Autotuning will compromize the result 

     since the tuned parameters are for current control. 

     To prevent the event the dc voltage can be increased or 

     the Autotuning current decreased.

     When is event evaluated

     When doing Autotuning step1 or step2.

     Related parameters

     No related parameters.

    

   ",330
0x8060,Motor,SpeedLimit,"

    

     Description

     Event is set if motor speed is above a ramped speed limit. Typically used when Forced Braking or when a max speed limit is imposed by application.

     When is event evaluated

     When Forced Brake is activated.

     Related parameters

     No related parameters.

    

   ",301
0x8060,Motor,HighSpeed,"

    

     Description

     Event is set if motor speed is above predefined level.

     Limits: See related parameters.

     When is event evaluated

     When speed feedback sensor signal is valid

     Related parameters

     IndependentSupervision, OverSpeedLimitForward

     IndependentSupervision, OverSpeedLimitReverse

    

   ",302
,Motor,ModeratelyHighSpeed,"

    

     Description

     Event is set if motor speed is above predefined level.

     Max allowed accelerating current is reduced linearly.

     Limits: See related parameters.

     When is event evaluated

     When speed feedback sensor signal is valid

     Related parameters

     CurrentLimit, ModeratelyHighSpeedStartLevel

     CurrentLimit, ModeratelyHighSpeedEndLevel

     CurrentLimit, AbilityAccelerationCurrent

     CurrentLimit, AbilityBrakeCurrent

    

   ",303
,Motor,ModeratelyLowSpeed,"

    

     Description

     Event is set if motor speed is below predefined level.

     Mainly used in hybrid drives in combination with combustion engines 

     to prevent rotation of engine in wrong direction.

     Max allowed braking current is reduced linearly.

     Limits: See related parameters.

     When is event evaluated

     When speed feedback sensor signal is valid

     Related parameters

     CurrentLimit, ModeratelyLowSpeedStartLevel

     CurrentLimit, ModeratelyLowSpeedEndLevel

     CurrentLimit, AbilityAccelerationCurrent

     CurrentLimit, AbilityBrakeCurrent

    

   ",304
0x8070,Motor,SlipInWrongDirection,"

    

    Description

     SlipSpeed is controlled to achive correct orientation of the dq-plane. 

     Event is set if SlipSpeed is wrong compared to ExpectedSlipSpeed.

     The typical reason for this error is that when you performed the AutoTuning 

     procedure the correct motor inductance and resistanse values was not found. 

     When is event evaluated

     Always

     Related parameters

     InductionMotorParameters, SlipSpeedInWrongDirectionCheckLevel 

     InductionMotorParameters, MaxAcceptableTimeWithSlipInWrongDirection      

    

   ",306
0x8071,Motor,TooHighZeroSpeedSlip,"

    

    Description

     SlipSpeed is controlled to achive correct orientation of the dq-plane. 

     Event is set if SlipSpeed too high compared to expected slip speed at zero sensor speed.

     The typical reason for this error is that the sensor is mechanically separeted from the motor. 

     When is event evaluated

     Always

     Related parameters

     InductionMotorParameters, HighZeroSpeedSlipToleranceFactor 

     InductionMotorParameters, MaxAcceptableTimeWithHighZeroSpeedSlip      

    

   ",307
0x8090,Motor,ACCurrentControlError,"

    

     Description

     Event is set if the difference between the expected AC current and the measured AC current is too high. 

     This indicates faulty current measurement sensor(s) or badly tuned current controller.

     

     The event is set if all the following conditions are full-filled for at least 50ms: 

     

      ABS(CurrentReference - RmsMotorCurrent) < ACCurrentControlCurrentLimit / 100 * HwDetectedMaxCurrent

      UPeakNormalized < ACCurrentControlUpeakLimit / 100 * UPeakLimit

      FilteredVoltage > ACCurrentControlDcVoltageLimit / 100 * NominalVoltage

     

     When is event evaluated

     When enabled, when Electric Motor Brake Mode is not active, when Over Voltage Protection is not active, when Current Control is enabled, when Auto Tuning is not active and when 

     external IdRef/IqRef is not used. 

     Related parameters

     IndependentSupervision, ACCurrentControlCurrentLimit

     IndependentSupervision, ACCurrentControlUpeakLimit

     IndependentSupervision, ACCurrentControlDcVoltageLimit     

    

   ",308
